rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing Hero CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage hero presents two equally weighted primary calls to action, creating decision friction.","The homepage hero presents two equally weighted primary calls to action, forcing an an immediate choice between 'SHOP MEN' and 'SHOP WOMEN' rather than guiding users down a single, clear path.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Consolidate to a single primary CTA (e.g., 'Shop All') to reduce decision paralysis and streamline the initial user journey. Gender-specific navigation can be offered as secondary options or within the subsequent page.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN' directly below the H1.",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_1_competing_hero_ctas.html
2,Vague Hero H1,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,The hero H1 is a strong brand statement but lacks direct product-finding guidance.,"The hero H1 presents a brand promise that, while positive, doesn't immediately guide visitors with specific product intent, potentially delaying their journey.","h1: Find Your Next Favorite Pair. Naturally Comfortable.; cta: Shop Men's Shoes, Shop Women's Shoes; notes: Rephrase the H1 to be more action-oriented for new visitors, while still highlighting core brand benefits. This helps visitors quickly understand what they can do here.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'. The H1 is a general statement about the brand's values rather than a direct solution to a common visitor need.",Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_vague_brand_promise.html
3,Shipping Delay Friction,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion|trust,A prominent shipping delay notice on the homepage and product pages creates significant friction and distrust.,"The prominent 'Due to increased demand, orders may take up to 30 days to ship' statement creates significant friction and distrust regarding delivery speed, especially for first-time buyers.","notes: Add a concise 'Easy Returns' or 'Satisfaction Guarantee' statement (e.g., 'Not satisfied? Easy 30-day returns.') directly adjacent to the shipping delay notice on the homepage hero and product pages, linking to the full policy.","Homepage body_sample: 'Due to increased demand, orders may take up to 30 days to ship.' | Product page (/products/anytime-ankle-sock) body_sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_shipping_delay_friction.html
4,Transparent Shipping Fee,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion|trust,The specific shipping cost for orders under $100 is only explicitly revealed after adding an item to the cart.,"While the condition for free shipping is prominent, the specific cost for orders not meeting this threshold is only explicitly revealed after adding an item to the cart.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: To enhance transparency, explicitly state the $5.00 shipping fee for orders under $100 alongside the free shipping claim on product and collection pages. For example, 'Free ground shipping on orders over $100. Otherwise, a flat $5.00 shipping fee applies.'","The claim 'Free ground shipping on orders over $100' is visible on the homepage, shop all page, and product pages. However, the explicit cost of '$5.00' for shipping when the order is under $100 is primarily disclosed within the 'Added to Cart Spend more to earn free shipping! Shipping $5.00 Subtotal' snippet, which appears after a user interacts with an 'Add to Cart' action.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_delayed_shipping_cost_disclosure.html
5,Missing Collection H1,HIGH,Homepage,Medium,2-5 days,5,10,no,traffic|conversion,"The 'Shop All' collection page lacks a clear H1, hindering SEO and immediate user understanding.","The 'Shop All' collection page lacks a clear H1, which can hinder SEO and make it less immediately obvious to visitors that they are on the main product browsing page.","h1: Shop All Allbirds: Shoes & Apparel; cta: Apply filters, Shop Men's, Shop Women's, Shop Apparel; notes: Implement a clear, descriptive H1 that confirms the user's location and purpose on the page, improving both user experience and search engine understanding.",H1s: `[]` (empty array) in the inventory for `/collections/shop-all-26`. The page title is 'SHOP ALL '26'.,Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_missing_h1_clarity.html
6,Unlabeled Form Inputs,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion|trust,"Forms across the site rely on implicit labeling rather than explicit `<label>` elements, reducing clarity and accessibility.","Forms across the site (email signup, 'Get Notified') rely on implicit labeling (e.g., placeholder text or aria-label) rather than explicit `<label>` elements, reducing clarity and accessibility for some users.","notes: Add explicit `<label>` elements associated with all single-input fields (e.g., email address) to improve clarity and accessibility for all users, including those using assistive technologies.","On the homepage, the email signup form is `{""n_inputs"": 1, ""labels"": [], ""submit"": ""Sign Up""}`. Similar forms appear on collection and product pages. While `tech.inputs_unlabelled: 0` suggests an accessible name exists (e.g., via `aria-label` or `placeholder`), the `labels: []` array confirms the absence of a visible `<label>` element. | On `/products/anytime-ankle-sock`, a form is present as `{""n_inputs"": 1, ""labels"": [], ""submit"": ""Get Notified""}`. Similar to the email signup, `labels: []` indicates no explicit `<label>` element, despite `tech.inputs_unlabelled: 0` suggesting an accessible name is present.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_implicit_input_labeling.html
7,Heavy Script Load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 707 KB of HTML.",Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_heavy_third_party_script_load.html
8,Mega-menu Overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The main navigation's mega-menu presents an overwhelming number of categories and sub-categories, leading to user decision paralysis.","The main navigation's mega-menu presents an overwhelming number of categories and sub-categories simultaneously, potentially leading to user decision paralysis.","notes: Streamline the top-level navigation to fewer, broader categories. Implement a more structured mega-menu with clear grouping and progressive disclosure for sub-categories. Prioritize popular or high-converting categories for immediate visibility and consider a 'Shop By' filter for less common attributes.","The `nav_items` list on the homepage includes 20 distinct entries, and the `body_sample` explicitly shows a deep hierarchy within categories like 'Men's Shoes' (e.g., 'Shop All Sneakers Slip Ons Sandals Active All-Weather Customer Favorites Runner NZ Cruiser Tree Runner NZ') and 'Women's Shoes' (e.g., 'Trainers Sneakers Flats Sandals Slip Ons Active All-Weather Popular Picks Tree Runner NZ Canvas Cruiser Tree Runner NZ').",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_mega_menu_choice_overload.html
9,No Product Social Proof,HIGH,Product Page,High,5+ days,4,10,no,conversion|trust,"Product cards on collection pages lack visible social proof, making it difficult for buyers to quickly assess product quality.","Product cards on collection pages lack visible social proof (e.g., star ratings, review counts), making it difficult for buyers to quickly assess product quality and popularity, leading to hesitation.",notes: Integrate average star ratings and the total number of reviews directly onto each product card on the collection page to provide immediate social proof and aid product selection.,"Inventory for '/collections/shop-all-26' shows product listings with images, titles, and prices in the body_sample, but no explicit mention of star ratings or review counts on individual product cards.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_missing_product_social_proof.html
10,Unnamed Controls,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"Many interactive controls expose no text label, making them unusable for screen readers and voice control.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
